pair,ligand,n_configurations,delta_E_min,delta_E_max,delta_E_mean,delta_E_median
Ag-Cr,S,1,-0.060173778380712,-0.060173778380712,-0.060173778380712,-0.060173778380712
Ag-Mn,O,3,-0.315894335438202,-0.1062325079755933,-0.17865344083346302,-0.1138334790865937
Ag-Nb,O,2,-0.0614078124474974,-0.0600014036844241,-0.06070460806596075,-0.06070460806596075
Ag-Rh,S,1,-0.2131169344460084,-0.2131169344460084,-0.2131169344460084,-0.2131169344460084
Ag-V,O,3,-0.0859675241685584,-0.0635192948890931,-0.0765640919209602,-0.0802054567052291
Au-Ta,S,1,-0.2339202903548504,-0.2339202903548504,-0.2339202903548504,-0.2339202903548504
Cd-Co,O,3,-0.0963921453643815,-0.0941303284724344,-0.09537769577365256,-0.0956106134841418
Cd-Fe,O,3,-0.1911398676819543,-0.074775744094754,-0.1152623789186384,-0.0798715249792069
Cd-Mn,O,12,-0.2906985595121067,-0.0728132613197234,-0.13890717640047953,-0.12367638531804931
Cd-Nb,O,1,-0.1274741536498837,-0.1274741536498837,-0.1274741536498837,-0.1274741536498837
Cd-Nb,S,1,-0.0722700995035126,-0.0722700995035126,-0.0722700995035126,-0.0722700995035126
Cd-Pd,O,1,-0.0615360064387175,-0.0615360064387175,-0.0615360064387175,-0.0615360064387175
Cd-Tc,O,1,-0.0592515502655427,-0.0592515502655427,-0.0592515502655427,-0.0592515502655427
Cd-V,O,2,-0.0714144770558412,-0.0691745413869611,-0.07029450922140115,-0.07029450922140115
Co-Cr,O,1,-0.0576742606668846,-0.0576742606668846,-0.0576742606668846,-0.0576742606668846
Co-Cu,O,8,-0.2392624957674634,-0.0848997289091379,-0.12427751659298532,-0.09353719932247355
Co-Fe,O,11,-0.2411665499806342,-0.0581587333005963,-0.11692947544673413,-0.1157736526685328
Co-Hf,O,1,-0.0382750476905459,-0.0382750476905459,-0.0382750476905459,-0.0382750476905459
Co-Mn,O,11,-0.1565396751827253,-0.0572738565970304,-0.09439574566372703,-0.0883417719429967
Co-Mo,O,1,-0.087528060293739,-0.087528060293739,-0.087528060293739,-0.087528060293739
Co-Nb,O,6,-0.0702622591725086,-0.0665758439949456,-0.06835183199571282,-0.06815555195108924
Co-Nb,S,4,-0.1271699041378486,-0.0816072052808933,-0.1074182217219894,-0.11044788873460785
Co-Ni,O,9,-0.131213361331175,-0.0571152289375466,-0.06921344756103508,-0.061101280612783
Co-Ni,S,1,-0.070761451423057,-0.070761451423057,-0.070761451423057,-0.070761451423057
Co-Rh,S,1,-0.0578836342060069,-0.0578836342060069,-0.0578836342060069,-0.0578836342060069
Co-Ru,O,6,-0.2879931942107602,-0.0928025195507047,-0.17438123580525108,-0.16754489766817432
Co-Sc,O,2,-0.094546951789356,-0.0871530705922974,-0.0908500111908267,-0.0908500111908267
Co-Ta,O,3,-0.1198146512849112,-0.0617403585878352,-0.09889405936032424,-0.1151271682082263
Co-Ta,S,2,-0.2295901937660199,-0.1131353079619921,-0.171362750864006,-0.171362750864006
Co-Tc,O,1,-0.0678663333907523,-0.0678663333907523,-0.0678663333907523,-0.0678663333907523
Co-Ti,O,7,-0.5019698615955894,-0.0698973583775406,-0.1570388037817491,-0.1182618170016016
Co-Ti,S,1,-0.0716295986660072,-0.0716295986660072,-0.0716295986660072,-0.0716295986660072
Co-V,O,5,-0.1416933680796391,-0.0592597749319957,-0.08053515925451926,-0.0605345399591376
Co-Y,O,8,-0.1514307924963885,-0.0748599572382479,-0.11010915977059756,-0.11786826619763925
Co-Zn,O,22,-0.2116823229251362,-0.0588143622332977,-0.12175655631630496,-0.12331073269070139
Co-Zr,O,3,-0.5120746412862203,-0.0705078201572078,-0.24599014244985906,-0.1553879659061491
Cr-Cu,O,2,-0.0682576356209807,-0.067801503423053,-0.06802956952201684,-0.06802956952201684
Cr-Fe,O,24,-0.2116707753270854,-0.0862442942083367,-0.13355534041205172,-0.12780836128772327
Cr-Fe,S,1,-0.1074699567658445,-0.1074699567658445,-0.1074699567658445,-0.1074699567658445
Cr-Hf,O,1,-0.043373618165505,-0.043373618165505,-0.043373618165505,-0.043373618165505
Cr-Mn,O,26,-0.3170669570586603,-0.0547857535940334,-0.10996286701854692,-0.07080323812286875
Cr-Mn,S,1,-0.1040611192051136,-0.1040611192051136,-0.1040611192051136,-0.1040611192051136
Cr-Mo,O,1,-0.1255972725962765,-0.1255972725962765,-0.1255972725962765,-0.1255972725962765
Cr-Nb,S,2,-0.1034012614211289,-0.0818395781431433,-0.0926204197821361,-0.0926204197821361
Cr-Ni,O,1,-0.0647044026762287,-0.0647044026762287,-0.0647044026762287,-0.0647044026762287
Cr-Ni,S,2,-0.080008237525323,-0.0712918758555669,-0.07565005669044494,-0.07565005669044494
Cr-Sc,O,1,-0.1234714790702177,-0.1234714790702177,-0.1234714790702177,-0.1234714790702177
Cr-Ti,O,5,-0.1019359369088299,-0.0643920520015482,-0.07599224893439156,-0.0682139449453955
Cr-V,O,21,-0.1011910172856162,-0.0546364587563965,-0.08058570868476475,-0.0781743490559923
Cr-V,S,2,-0.097098187370319,-0.0918566143322968,-0.0944774008513079,-0.0944774008513079
Cr-Y,O,12,-0.2693689479804491,-0.058876223382489,-0.13155390159755614,-0.11058488852741005
Cr-Y,S,2,-0.2192342635108729,-0.172547117142033,-0.19589069032645295,-0.19589069032645295
Cr-Zn,O,14,-0.1632745574444543,-0.0645348785265754,-0.10896826186436633,-0.11466504032703954
Cu-Fe,O,7,-0.1226545211031271,-0.05785044489427,-0.08319925563525783,-0.0841227218393004
Cu-Mn,O,11,-0.266180578806617,-0.1286675218378201,-0.1737161394816096,-0.1590016807716204
Cu-Nb,O,2,-0.1101379469421614,-0.0725732893128204,-0.0913556181274909,-0.0913556181274909
Cu-Nb,S,5,-0.3036173486410566,-0.0727886254517238,-0.1300165329092389,-0.0935265457738414
Cu-Ni,O,6,-0.2105306587143033,-0.058282007345987,-0.12928578244601965,-0.1306501464012777
Cu-Pd,S,1,-0.1543913083956804,-0.1543913083956804,-0.1543913083956804,-0.1543913083956804
