chemsys,n_configurations,ligand_examples,packing_fraction_min,packing_fraction_median,packing_fraction_max,packing_fraction_range,volume_per_atom_median,delta_E_min,delta_E_mean,delta_E_max,packing_vs_delta_corr,packing_vs_delta_slope
Sc-Zr-O,7,O,0.7101710990074146,0.7121502476331805,0.7354662939744606,0.02529519496704602,11.89251616884744,-0.7656138917983808,-0.2842059806405756,-0.1224190822048944,0.21166197583769095,5.639698110964045
Ni-Nb-O,3,O,0.48595499255951097,0.4875749387672984,0.9230559133229883,0.43710092076347734,10.938896929834263,-0.6736869076334131,-0.3640771999197443,-0.14002392482738,-0.9674213830000475,-1.0635656952772339
Hf-Re-S,2,S,0.8437803356788579,0.9090185876052564,0.974256839531655,0.13047650385279708,20.89771256179658,-0.645394856917348,-0.4948784133541204,-0.3443619697908929,1.0,2.307180819820859
Mn-Ni-O,17,O,0.3806911111024828,0.4755997834902955,0.5338386121398879,0.1531475010374051,10.900291837881758,-0.6350591431579155,-0.14919127432248583,-0.0586145804506959,0.059146744424661266,0.22143456270168055
Ti-Ni-O,8,O,0.504349792193739,0.5652948063401178,0.9543436719525792,0.4499938797588402,10.378172318481512,-0.5654934752935433,-0.28888011661507557,-0.080947919807489,-0.9692177019112965,-1.0513910356790046
Ti-Mn-O,16,O,0.40804993891760355,0.5232238338441009,0.879021053264883,0.47097111434727945,11.619186921509103,-0.5482996504240987,-0.16713891134428716,-0.0658669586486653,-0.7942788911189669,-0.8744747956183387
Ti-Y-O,15,O,0.6662792415703149,0.7635161717309539,0.8407885438175148,0.17450930224719985,12.69736845693993,-0.5275801206245934,-0.19342548349993696,-0.0606118817541705,0.12161384265647107,0.3448109945454693
Fe-Zr-S,1,S,0.8934148949146223,0.8934148949146223,0.8934148949146223,0.0,19.155958142025092,-0.526448091126119,-0.526448091126119,-0.526448091126119,,
Ni-Zr-O,4,O,0.7562420949550422,0.922522572380706,0.9462867634637636,0.19004466850872137,16.52172105471385,-0.5248567787815661,-0.23594821396428844,-0.0758376278289203,-0.36573571901673896,-0.8143769346724211
Co-Zr-O,3,O,0.6020570518481798,0.8961881940852552,0.9318752151413114,0.3298181632931316,17.5981306176338,-0.5120746412862203,-0.24599014244985906,-0.0705078201572078,-0.7204659019591559,-0.9326692912605097
Ti-Fe-O,37,O,0.441211023788065,0.5327785241424288,0.9727958882704799,0.5315848644824149,10.906078601446561,-0.5027603407092435,-0.137577879557803,-0.051627847770755,-0.9042599804856032,-0.881398538973809
Ti-Co-O,7,O,0.3282545299104946,0.49157172370043306,0.9016724273062376,0.5734178973957431,11.755071021347804,-0.5019698615955894,-0.1570388037817491,-0.0698973583775406,-0.9313071742913699,-0.740795587947114
Ti-Cu-O,3,O,0.9353801340251222,0.9451177456692197,0.9626661948141542,0.027286060789031952,13.222439109121622,-0.436577353302924,-0.4205966464358743,-0.3956122437604805,-0.8640496495485437,-1.3694565306137454
Mo-Hf-S,2,S,0.9552354965213228,0.9589011166119095,0.962566736702496,0.00733124018117326,19.702748769204803,-0.4326762686599343,-0.42406415005298703,-0.4154520314460397,-1.0,-2.3494302175676296
Mo-Hf-O,1,O,0.9786099292514592,0.9786099292514592,0.9786099292514592,0.0,17.042715483317625,-0.4300564492163088,-0.4300564492163088,-0.4300564492163088,,
Sc-Hf-O,3,O,0.7295153445651581,0.7313808844902885,0.7462859504030285,0.016770605837870378,11.810184660756471,-0.4066038791663773,-0.2666985178105457,-0.1518623240633223,0.8305119647371781,11.67485702749005
Sc-Ti-O,6,O,0.6402774593128618,0.7082416764064392,0.7709236181109883,0.13064615879812647,11.016268383513296,-0.4047621105822354,-0.1606785199942579,-0.0585259696980869,0.029454414149723742,0.08938455779065714
Fe-Y-O,8,O,0.5035205950938989,0.6666774692752688,0.7739626849992896,0.27044208990539065,12.593261564667888,-0.3939728826567863,-0.15125266891588862,-0.0569226395248298,-0.4055024872442213,-0.5609077939239147
Hf-Re-O,1,O,1.0128205860092632,1.0128205860092632,1.0128205860092632,0.0,16.25063585763063,-0.3573132958079261,-0.3573132958079261,-0.3573132958079261,,
Sc-Nb-O,4,O,0.672565654087433,0.700579486565664,0.7111573096831239,0.03859165559569089,11.586962697134027,-0.3531069211261067,-0.17820564219079554,-0.0827903570855752,-0.4112326948310604,-3.032687831781778
Hf-W-O,1,O,1.0007708105752715,1.0007708105752715,1.0007708105752715,0.0,17.29238923021214,-0.337457877800983,-0.337457877800983,-0.337457877800983,,
Fe-Ni-S,4,S,0.43132400777895635,0.4385333317047159,0.4586950076332453,0.027370999854288924,14.767634412660666,-0.3277943305434015,-0.1755849295922957,-0.103274765424068,-0.9873329750778771,-8.619145306521231
Mn-Fe-O,29,O,0.36467244936048415,0.4431075199044631,0.5661124503533443,0.2014400009928602,11.61229609374717,-0.3220387144193556,-0.14230224437597055,-0.05626972657879,-0.04002048515761039,-0.05558536469539862
Hf-W-S,1,S,0.9877677382124878,0.9877677382124878,0.9877677382124878,0.0,20.11228741928046,-0.3212614097832338,-0.3212614097832338,-0.3212614097832338,,
Ti-Cu-S,5,S,0.45577790739144447,0.5166035883018586,0.5171857870205082,0.061407879629063744,17.559192051577302,-0.3193036842542144,-0.14340824115770773,-0.0746548354496839,0.41554909293470726,1.5123507783703016
Cr-Mn-O,26,O,0.3541101678681386,0.420596744376378,0.5113725235138848,0.15726235564574625,11.457216201955987,-0.3170669570586603,-0.10996286701854693,-0.0547857535940334,-0.16668839488735088,-0.21487785664960493
Mn-Ag-O,3,O,0.4950534422171652,0.5054945417077735,0.5056034654358702,0.010550023218705018,12.458132445350099,-0.315894335438202,-0.17865344083346302,-0.1062325079755933,-0.46412469958513736,-9.10768877040529
Fe-Zn-O,26,O,0.37116480643420324,0.4107630535771081,0.46217055162498266,0.09100574519077942,11.105920641263822,-0.3062771089390109,-0.14580136903185156,-0.0760007671509077,0.5150207538091913,1.3537835581004547
Cu-Nb-S,5,S,0.5121247868551466,0.51863035956842,0.5757253478191066,0.06360056096395994,18.360942712949285,-0.3036173486410566,-0.1300165329092389,-0.0727886254517238,-0.1617209955485445,-0.5950645628992847
Mn-Cd-O,12,O,0.4603165442285637,0.5217597642739408,0.5449522948456753,0.0846357506171116,12.438232950188736,-0.2906985595121067,-0.13890717640047956,-0.0728132613197234,0.005595985297190051,0.015415289320427766
Co-Ru-O,6,O,0.4203501470467642,0.4365964327619539,0.4677773443325111,0.0474271972857469,10.971455993921184,-0.2879931942107602,-0.17438123580525108,-0.0928025195507047,0.7300278918321622,2.811539012926103
Mn-Y-O,10,O,0.5271199887711921,0.6488705151450824,0.740231740301268,0.2131117515300759,11.83117622890099,-0.2812557716728497,-0.13611379671984644,-0.0640226300470144,-0.06676173432573897,-0.05474288093489846
Cr-Y-O,12,O,0.5535475591331116,0.6509102079217093,0.7948422713454315,0.2412947122123199,11.831687796324202,-0.2693689479804491,-0.13155390159755614,-0.058876223382489,0.16075391730965033,0.16309302633181202
Ti-Zr-O,7,O,0.6262615370547713,0.6546936731161552,0.9783602745521842,0.35209873749741294,11.666934176902307,-0.2675109238076715,-0.1351146110664593,-0.0724993694301322,0.2760295056022262,0.10489848214870895
Mn-Cu-O,11,O,0.4702869103796262,0.47846556947402424,0.5131123199738009,0.04282540959417469,10.983599701275576,-0.266180578806617,-0.17371613948160963,-0.1286675218378201,0.024637050826672155,0.08994350915421571
Mn-Ta-O,6,O,0.515771323711843,0.5283594606451829,0.5659932044525403,0.05022188074069733,12.201523198404573,-0.2613191249512975,-0.1522264248567615,-0.0869445304262842,0.6020087267315072,2.30021980990742
Rh-Pd-S,1,S,0.5389778574113157,0.5389778574113157,0.5389778574113157,0.0,15.952673204072813,-0.2462083250272021,-0.2462083250272021,-0.2462083250272021,,
Ti-V-O,22,O,0.49155506862982123,0.5298825404307235,0.7270061020365808,0.23545103340675955,11.58721913491841,-0.2435766555233249,-0.08827648481123139,-0.0542922470262128,-0.6243248568940828,-0.4191895364657052
Fe-Co-O,11,O,0.32237813255299647,0.4180191640953773,0.42873739010895945,0.10635925755596298,11.08265128395238,-0.2411665499806342,-0.11692947544673413,-0.0581587333005963,-0.7500056520411635,-0.8534659756912397
Co-Cu-O,8,O,0.41824409992254347,0.4484052360223291,0.47768066910863316,0.059436569186089694,9.768655575305942,-0.2392624957674634,-0.12427751659298533,-0.0848997289091379,-0.30236098817360535,-0.9020352521727385
Ni-Y-O,6,O,0.49418861711498346,0.6492819132270939,0.7680105842198743,0.2738219671048909,10.9971029682996,-0.2354999762185596,-0.13274433736223157,-0.0835498274442032,0.28799568578118745,0.17094296491818742
Ta-Au-S,1,S,0.9557234270974232,0.9557234270974232,0.9557234270974232,0.0,17.680458255286094,-0.2339202903548504,-0.2339202903548504,-0.2339202903548504,,
Co-Ta-S,2,S,0.7617462881693462,0.7687980539135892,0.7758498196578323,0.014103531488486087,17.681364703162323,-0.2295901937660199,-0.171362750864006,-0.1131353079619921,0.9999999999999998,8.257143673490678
Mn-Nb-O,6,O,0.44375308537978636,0.5247825723602377,0.6352182169424677,0.19146513156268136,12.221911247316797,-0.2269212626693078,-0.13714701455402042,-0.0859911508599634,-0.26477863909406046,-0.21802561710475066
Fe-Ni-O,10,O,0.4130140998246373,0.4222305709896166,0.4429844154453699,0.029970315620732546,10.853401209819829,-0.2260108003808495,-0.16556866239503415,-0.0598682052381543,0.8706854411167388,4.293964863965603
Ni-Zn-O,35,O,0.29235306749800655,0.4132072290570609,0.47974213807051114,0.1873890705725046,9.784450252443554,-0.2214194399903743,-0.10832781243978197,-0.0580499405342148,-0.3090069300597376,-0.33792555359212656
V-Cu-O,9,O,0.41268203765464817,0.4374958761696323,0.5067422755222931,0.09406023786764495,12.46204681668463,-0.2212687401050554,-0.10516433221967883,-0.0578056112861124,-0.5354062405474609,-0.7090113473049038
Cr-Y-S,2,S,0.5917026131853584,0.6116954892020314,0.6316883652187043,0.03998575203334587,20.651814872403378,-0.2192342635108729,-0.19589069032645295,-0.172547117142033,0.9999999999999998,1.1675945554282778
Ti-Pd-O,1,O,0.9310172764342347,0.9310172764342347,0.9310172764342347,0.0,13.732421651927154,-0.2176919121650476,-0.2176919121650476,-0.2176919121650476,,
Sc-V-O,9,O,0.6206327982931704,0.6744568217360362,0.7795233431260584,0.158890544832888,11.065401350911845,-0.2155931148796214,-0.14540410511758914,-0.0950337817835723,0.14677825340031264,0.14282129526271034
Rh-Ag-S,1,S,0.5296671610079579,0.5296671610079579,0.5296671610079579,0.0,16.41251905354744,-0.2131169344460084,-0.2131169344460084,-0.2131169344460084,,
Co-Zn-O,22,O,0.30858314803774584,0.4171511712132291,0.4734286865104607,0.16484553847271488,10.03041744953316,-0.2116823229251362,-0.12175655631630494,-0.0588143622332977,-0.2569356831124028,-0.25009769260765474
Cr-Fe-O,24,O,0.3586458807135976,0.3957294946862603,0.4871474767835159,0.1285015960699183,12.462824029137241,-0.2116707753270854,-0.13355534041205172,-0.0862442942083367,-0.3993074725691421,-0.5056259158066023
Ni-Cu-O,6,O,0.500185378567329,0.5051848131842385,0.5084176925344013,0.008232313967072247,9.406967188622424,-0.2105306587143033,-0.12928578244601965,-0.058282007345987,-0.04743438410113306,-0.7840242465659752
Cu-Y-O,10,O,0.4830250640744788,0.6787798879133423,0.8060982542009957,0.32307319012651686,13.229170220682231,-0.2044839499599706,-0.13292373833972557,-0.0770715588731097,0.9536284409605809,0.40964967950656234
